GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-caixaverso,com.caixa.model,ProdutoEmprestimo,0,26,0,0,0,8,0,3,0,3
api-caixaverso,com.caixa.repository,ProdutoEmprestimoRepository,3,0,0,0,1,0,1,0,1,0
api-caixaverso,com.caixa.controller,HealthCheckController,0,11,0,0,0,2,0,2,0,2
api-caixaverso,com.caixa.controller,ProdutoEmprestimoController,0,57,0,0,0,13,0,7,0,7
api-caixaverso,com.caixa.controller,HealthCheckController.HealthStatus,0,26,0,0,0,12,0,6,0,6
api-caixaverso,com.caixa.dto,SimulacaoEmprestimoRequest,0,36,0,0,0,16,0,8,0,8
api-caixaverso,com.caixa.dto,SimulacaoEmprestimoResponse,0,66,0,0,0,28,0,14,0,14
api-caixaverso,com.caixa.dto,SimulacaoEmprestimoResponse.DetalhamentoMensal,0,56,0,0,0,24,0,12,0,12
api-caixaverso,com.caixa.dto,ProdutoEmprestimoRequest,0,36,0,0,0,16,0,8,0,8
api-caixaverso,com.caixa.service,CalculoJurosService,0,250,1,25,0,52,1,19,0,7
api-caixaverso,com.caixa.service,ProdutoEmprestimoService,0,85,0,2,0,23,0,8,0,7
